评估序号,t_d(m),log10(E_d),eta_d,Omega,J值
1,0.014536,8.4864,0.220139,0.641052,13.572364
2,0.008946,8.9327,0.602783,0.247703,13.892968
3,0.008946,8.9327,0.602783,0.247703,13.892968
4,0.008946,8.9327,0.602783,0.247703,13.892968
5,0.008946,8.9327,0.602783,0.247703,13.892968
6,0.008946,8.9327,0.602783,0.247703,13.892968
7,0.008946,8.9327,0.602783,0.247703,13.892968
8,0.008946,8.9327,0.602783,0.247703,13.892968
9,0.008946,8.9327,0.602783,0.247703,13.892968
10,0.008946,8.9327,0.602783,0.247703,13.892968
11,0.008946,8.9327,0.602783,0.247703,13.892968
12,0.008946,8.9327,0.602783,0.247703,13.892968
13,0.008946,8.9327,0.602783,0.247703,13.892968
14,0.008946,8.9327,0.602783,0.247703,13.892968
15,0.008946,8.9327,0.602783,0.247703,13.892968
16,0.008946,8.9327,0.602783,0.247703,13.892968
17,0.008946,8.9327,0.602783,0.247703,13.892968
18,0.008946,8.9327,0.602783,0.247703,13.892968
19,0.008946,8.9327,0.602783,0.247703,13.892968
20,0.008946,8.9327,0.602783,0.247703,13.892968
21,0.008946,8.9327,0.602783,0.247703,13.892968
22,0.008946,8.9327,0.602783,0.247703,13.892968
23,0.008946,8.9327,0.602783,0.247703,13.892968
24,0.008946,8.9327,0.602783,0.247703,13.892968
25,0.008946,8.9327,0.602783,0.247703,13.892968
26,0.008946,8.9327,0.602783,0.247703,13.892968
27,0.008946,8.9327,0.602783,0.247703,13.892968
28,0.008946,8.9327,0.602783,0.247703,13.892968
29,0.008946,8.9327,0.602783,0.247703,13.892968
30,0.008946,8.9327,0.602783,0.247703,13.892968
31,0.008946,8.9327,0.602783,0.247703,13.892968
32,0.008946,8.9327,0.602783,0.247703,13.892968
33,0.008946,8.9327,0.602783,0.247703,13.892968
34,0.008946,8.9327,0.602783,0.247703,13.892968
35,0.008946,8.9327,0.602783,0.247703,13.892968
36,0.008946,8.9327,0.602783,0.247703,13.892968
37,0.008946,8.9327,0.602783,0.247703,13.892968
38,0.008946,8.9327,0.602783,0.247703,13.892968
39,0.008946,8.9327,0.602783,0.247703,13.892968
40,0.008946,8.9327,0.602783,0.247703,13.892968
